"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"NOSTUFF";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"USE";
"CARTRIDGE";"5650118-1";"A8_CART";"A8_CART";"This is the Atari Cartridge port part - Digikey part";"";"";"";"";"";"";"";"";"";"";"";"";"";"5650118-1";
"H3";"MOUNT-HOLE4.1";"MOUNT-HOLE4.1";"4,1";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"H6";"MOUNT-HOLE4.1";"MOUNT-HOLE4.1";"4,1";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"H7";"MOUNT-HOLE4.1";"MOUNT-HOLE4.1";"4,1";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"H8";"MOUNT-HOLE4.1";"MOUNT-HOLE4.1";"4,1";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"IC1";"SN74LVC138APWR";"TC74LCX138FT";"SOP65P640X120-16N";"Toshiba TC74LCX138FT, Decoder, Demultiplexer, 1-of-8, Inverting, 1.65  3.6 V, 16-Pin TSSOP";"";"";"Toshiba TC74LCX138FT, Decoder, Demultiplexer, 1-of-8, Inverting, 1.65  3.6 V, 16-Pin TSSOP";"1.2mm";"Toshiba";"TC74LCX138FT";"N/A";"https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA";"";"";"4063409";"http://uk.rs-online.com/web/p/products/4063409";"";"SN74LVC138APWR";
"IC2";"XRA1405IL24-F";"XRA1405IL24-F";"QFN50P400X400X100-25N";"Interface - I/O Expanders 16 Bit SPI GPIO Expander";"";"";"Interface - I/O Expanders 16 Bit SPI GPIO Expander";"1mm";"MaxLinear";"XRA1405IL24-F";"701-XRA1405IL24-F";"https://www.mouser.com/Search/Refine.aspx?Keyword=701-XRA1405IL24-F";"";"";"";"";"";"XRA1405IL24-F";
"J1";"98424-G52-14ALF";"98424-G52-14ALF";"98424G5214ALF";"Headers & Wire Housings Shrd Hdr, SMT,Dbl Rw 14P, Vertical, .76um";"70236917";"https://www.alliedelec.com/amphenolicc-98424-g52-14alf/70236917/";"Headers & Wire Housings Shrd Hdr, SMT,Dbl Rw 14P, Vertical, .76um";"7mm";"Amphenol";"98424-G52-14ALF";"649-98424-G52-14ALF";"https://www.mouser.com/Search/Refine.aspx?Keyword=649-98424-G52-14ALF";"";"";"1822960";"http://uk.rs-online.com/web/p/products/1822960";"";"98424-G52-14ALF";
"JP1";"";"PINHD-1X7";"1X07";"PIN HEADER";"";"";"";"";"";"";"";"";"1";"0";"";"";"";"";
"JP2";"";"PINHD-2X20_2.00";"2X20M";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"SBH21-NBPN-D20-ST-BK";
"JP3";"";"PINHD-2X10_2.00";"2X10M";"PIN HEADER";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"JP4";"";"PINHD-2X04_2.00";"2X04M";"PIN HEADER";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"JP5";"";"PINHD-2X04_2.00";"2X04M";"PIN HEADER";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"LD_0P1";"SML-D12D1WT86";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"SML-D12D1WT86";
"LD_1P";"SML-D12D1WT86";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"SML-D12D1WT86";
"LD_2P";"SML-D12D1WT86";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"SML-D12D1WT86";
"LD_3P";"SML-D12D1WT86";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"SML-D12D1WT86";
"LD_4P";"SML-D12D1WT86";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"SML-D12D1WT86";
"LVL_AHI";"SN74LVC8T245";"SN74LVC8T245";"TSSOP24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SN74LVC8T245PWR";
